issue_number	social_debt_index	social_debt_level	adaptive_diagnosis_report
291739	0.916667	High Social Debt	El issue 291739 presenta un nivel de alta deud...
136292	0.674439	High Social Debt	El issue 136292 presenta un nivel de alta deud...
136458	0.546838	High Social Debt	El issue 136458 presenta un nivel de alta deud...
136286	0.543944	High Social Debt	El issue 136286 presenta un nivel de alta deud...
136498	0.433492	Medium Social Debt	El issue 136498 presenta un nivel de deuda soc...
136693	0.413929	Medium Social Debt	El issue 136693 presenta un nivel de deuda soc...
136251	0.354299	Medium Social Debt	El issue 136251 presenta un nivel de deuda soc...
136621	0.198433	Medium Social Debt	El issue 136621 presenta un nivel de deuda soc...
136465	0.191112	Low Social Debt	El issue 136465 presenta un nivel de baja deud...
136339	0.158957	Low Social Debt	El issue 136339 presenta un nivel de baja deud...
136379	0.076709	Low Social Debt	El issue 136379 presenta un nivel de baja deud...
136156	0.000000	Low Social Debt	El issue 136156 presenta un nivel de baja deud...

Dimensiones con reporte textual: (12, 41)
